location,bhk,total_sqft,bath,price
Electronic City Phase II,2.0,1056.0,2.0,39.07
Chikka Tirupathi,4.0,2600.0,5.0,120.0
Uttarahalli,3.0,1440.0,2.0,62.0
Lingadheeranahalli,3.0,1521.0,3.0,95.0
Kothanur,2.0,1200.0,2.0,51.0
Whitefield,2.0,1170.0,2.0,38.0
Old Airport Road,4.0,2732.0,4.0,204.0
Rajaji Nagar,4.0,3300.0,4.0,600.0
Marathahalli,3.0,1310.0,3.0,63.25
Whitefield,3.0,1800.0,2.0,70.0
Whitefield,4.0,2785.0,5.0,295.0
7th Phase JP Nagar,2.0,1000.0,2.0,38.0
Gottigere,2.0,1100.0,2.0,40.0
Sarjapur,3.0,2250.0,3.0,148.0
Mysore Road,2.0,1175.0,2.0,73.5
Bisuvanahalli,3.0,1180.0,3.0,48.0
Raja Rajeshwari Nagar,3.0,1540.0,3.0,60.0
other,3.0,2770.0,4.0,290.0
other,2.0,1100.0,2.0,48.0
Kengeri,1.0,600.0,1.0,15.0
Binny Pete,3.0,1755.0,3.0,122.0
Thanisandra,4.0,2800.0,5.0,380.0
Bellandur,3.0,1767.0,3.0,103.0
other,1.0,510.0,1.0,25.25
other,3.0,1250.0,3.0,56.0
Electronic City,2.0,660.0,1.0,23.1
Whitefield,3.0,1610.0,3.0,81.0
Ramagondanahalli,2.0,1151.0,2.0,48.77
Electronic City,3.0,1025.0,2.0,47.0
Yelahanka,4.0,2475.0,4.0,186.0
Bisuvanahalli,3.0,1075.0,2.0,35.0
Hebbal,3.0,1760.0,2.0,123.0
Raja Rajeshwari Nagar,3.0,1693.0,3.0,57.39
Kasturi Nagar,3.0,1925.0,3.0,125.0
Kanakpura Road,2.0,700.0,2.0,36.0
Electronics City Phase 1,2.0,1070.0,2.0,45.5
Kundalahalli,3.0,1724.0,3.0,125.0
Chikkalasandra,3.0,1290.0,2.0,56.12
Uttarahalli,2.0,1143.0,2.0,45.0
Murugeshpalya,2.0,1296.0,2.0,81.0
Sarjapur  Road,3.0,1254.0,3.0,38.0
other,1.0,600.0,1.0,38.0
Yelahanka,1.0,660.0,1.0,48.0
Kanakpura Road,2.0,1330.74,2.0,91.79
Doddathoguru,2.0,970.0,2.0,33.0
Whitefield,2.0,1459.0,2.0,94.82
KR Puram,2.0,800.0,1.0,130.0
other,2.0,869.0,2.0,36.0
other,2.0,1270.0,2.0,50.0
Bhoganhalli,3.0,1670.0,3.0,99.0
Whitefield,3.0,2010.0,3.0,91.0
Lakshminarayana Pura,2.0,1185.0,2.0,75.0
Yelahanka,3.0,1600.0,2.0,75.0
Begur Road,2.0,1200.0,2.0,44.0
Devanahalli,4.0,3210.0,2.6926096474673513,192.0
other,2.0,1500.0,2.0,185.0
other,2.0,840.0,2.0,45.0
other,3.0,4395.0,3.0,240.0
other,2.0,845.0,2.0,55.0
Whitefield,4.0,5700.0,5.0,650.0
Varthur,2.0,1160.0,2.0,44.0
Doddathoguru,2.0,1100.0,2.0,62.0
Gunjur,2.0,1140.0,2.0,43.0
Marathahalli,2.0,1220.0,2.0,57.0
Kanakpura Road,2.0,1005.0,2.0,36.68
other,3.0,500.0,3.0,100.0
Begur Road,2.0,1358.0,2.0,80.58
Hegde Nagar,3.0,1569.0,3.0,101.0
Haralur Road,2.0,1240.0,2.0,70.0
Hennur Road,3.0,2089.0,3.0,140.0
Kothannur,2.0,1206.0,2.0,48.23
Kalena Agrahara,2.0,1150.0,2.0,40.0
other,3.0,2511.0,3.0,205.0
Kaval Byrasandra,2.0,460.0,1.0,22.0
other,3.0,1660.0,2.0,105.0
Hennur Road,4.0,3203.0,2.6926096474673513,224.5
Yelahanka,2.0,1326.0,2.0,78.0
Garudachar Palya,3.0,1325.0,2.0,60.8
EPIP Zone,3.0,1499.0,5.0,102.0
Kanakpura Road,3.0,1665.0,3.0,88.0
Dasanapura,2.0,708.0,2.0,37.0
Kasavanhalli,2.0,1060.0,2.0,58.06
Sanjay nagar,2.0,1000.0,2.0,70.0
Electronic City,2.0,1000.0,2.0,28.88
other,3.0,1450.0,2.0,70.0
ISRO Layout,4.0,1200.0,4.0,155.0
Thanisandra,2.0,1296.0,2.0,80.0
Domlur,3.0,1540.0,3.0,90.0
Kengeri,4.0,2894.0,4.0,245.0
Sarjapura - Attibele Road,3.0,1330.0,2.0,48.0
other,2.0,1200.0,2.0,65.0
other,3.0,1200.0,3.0,90.0
Yeshwanthpur,3.0,2502.0,3.0,138.0
Chandapura,2.0,650.0,1.0,17.0
Kothanur,3.0,2400.0,2.0,150.0
other,2.0,1007.0,2.0,43.0
other,2.0,1200.0,2.0,50.0
other,2.0,966.0,2.0,49.9
Nagarbhavi,3.0,1630.0,2.0,98.0
Rajaji Nagar,3.0,1640.0,3.0,229.0
other,2.0,782.0,2.0,55.68
Devanahalli,2.0,1260.0,2.0,66.78
other,3.0,1800.0,3.0,120.0
other,3.0,1413.0,2.0,75.0
Whitefield,2.0,1116.0,2.0,51.91
Electronic City,3.0,1530.0,2.0,45.9
Ramamurthy Nagar,4.0,3700.0,4.0,225.0
Sarjapur  Road,3.0,2497.0,3.0,140.0
Kengeri,3.0,1540.0,2.0,64.0
Thanisandra,3.0,1436.0,3.0,74.75
Malleshwaram,2.0,1100.0,2.0,75.0
Hennur Road,2.0,276.0,3.0,23.0
Thanisandra,3.0,1427.0,3.0,120.0
Akshaya Nagar,3.0,2061.0,3.0,200.0
Hebbal,4.0,5611.0,4.0,477.0
Shampura,4.0,2650.0,4.0,150.0
Devanahalli,3.0,1282.0,2.0,68.52
Kadugodi,2.0,1050.0,2.0,34.0
LB Shastri Nagar,3.0,1600.0,3.0,65.0
other,2.0,945.0,2.0,54.0
