City,Status,District,Population,Area,Density
Aali,Census Town,South,27169,4.0,6792.25
Ali Pur,Census Town,North West,20332,8.6,2364.186046511628
Asola,Census Town,South,13275,12.0,1106.25
Aya Nagar,Census Town,South,33123,8.18,4049.2665036674816
Babar Pur,Census Town,North East,37058,0.8,46322.5
Bakhtawar Pur,Census Town,North West,12716,3.92,3243.877551020408
Bakkar Wala,Census Town,West,18122,6.61,2741.6036308623297
Bankauli,Census Town,North West,5339,4.42,1207.9185520361991
Bankner,Census Town,North West,14788,6.8,2174.7058823529414
Bapraula,Census Town,West,52744,5.62,9385.053380782918
Baqiabad,Census Town,North East,14429,0.85,16975.29411764706
Barwala,Census Town,North West,8948,5.9,1516.6101694915253
Bawana,Census Town,North West,73680,17.0,4334.117647058823
Begum Pur,Census Town,North West,53682,1.9,28253.684210526317
Bhalswa Jahangir Pur,Census Town,North West,197148,6.7,29425.07462686567
Bhati,Census Town,South,18864,15.5,1217.032258064516
Bhor Garh,Census Town,North West,8627,3.92,2200.765306122449
Burari,Census Town,North,146190,11.2,13052.678571428572
Chandan Hola,Census Town,South,6780,0.8,8475.0
Chattar Pur,Census Town,South,46776,7.39,6329.634641407308
Chhawala (Chhawla),Census Town,South West,14662,7.1,2065.0704225352115
Chilla Saroda Bangar,Census Town,East,83217,2.58,32254.6511627907
Chilla Saroda Khadar,Census Town,East,11743,0.53,22156.603773584906
Dallo Pura,Census Town,East,154791,2.29,67594.3231441048
Darya Pur Kalan,Census Town,North West,6310,7.95,793.7106918238993
Delhi,Municipal Corporation,,11034,561.27,19.65898765300123
Delhi Cantonment,Cantonment (Board),,110351,42.57,2592.2245712943386
Deoli,Census Town,South,169122,10.1,16744.752475247526
Dera Mandi,Census Town,South,16725,16.99,984.4025897586816
Dindar Pur,Census Town,South West,35856,3.94,9100.507614213198
Fateh Pur Beri,Census Town,South,8861,4.68,1893.3760683760686
Gharoli,Census Town,East,92540,3.56,25994.38202247191
Gharonda Neemka Bangar (Patparganj),Census Town,East,37876,1.49,25420.13422818792
Gheora,Census Town,North West,6876,7.3,941.9178082191781
Ghitorni,Census Town,South West,14893,4.3,3463.4883720930234
Gokal Pur,Census Town,North East,121870,2.3,52986.956521739135
Hastsal,Census Town,West,176877,6.8,26011.323529411766
Ibrahim Pur,Census Town,North West,10614,2.96,3585.810810810811
Jaffar Pur Kalan,Census Town,South West,6573,3.44,1910.7558139534883
Jaffrabad,Census Town,North East,54601,0.9,60667.777777777774
Jait Pur,Census Town,South,59330,3.76,15779.255319148937
Jharoda Kalan,Census Town,South West,19578,12.45,1572.5301204819277
