City,Status,District,Population,Area,Density,Longitude,latitude
Aali,Census Town,South,27169,4.0,6792.25,28.513960270583976,77.30840347358063
Ali Pur,Census Town,North West,20332,8.6,2364.186046511628,28.798119683949388,77.1348377663563
Asola,Census Town,South,13275,12.0,1106.25,28.455643493638785,77.18695727357117
Aya Nagar,Census Town,South,33123,8.18,4049.2665036674816,28.469408333869605,77.12624406549699
Babar Pur,Census Town,North East,37058,0.8,46322.5,28.68759395490345,77.28336810916494
Bakhtawar Pur,Census Town,North West,12716,3.92,3243.877551020408,28.82304768902445,77.16893406642188
Bakkar Wala,Census Town,West,18122,6.61,2741.6036308623297,28.66095815968524,77.0161851159965
Bankauli,Census Town,North West,5339,4.42,1207.9185520361991,28.81277916332625,77.14191366639483
Bankner,Census Town,North West,14788,6.8,2174.705882352941,28.84147199644336,77.0694915092656
Bapraula,Census Town,West,52744,5.62,9385.053380782918,28.63769077640276,77.00603956593561
Baqiabad,Census Town,North East,14429,0.85,16975.29411764706,28.63769077640276,77.00603956593561
Barwala,Census Town,North West,8948,5.9,1516.6101694915253,28.761774187380045,77.0619837915631
Bawana,Census Town,North West,73680,17.0,4334.117647058823,28.800475615194525,77.05150602384457
Begum Pur,Census Town,North West,53682,1.9,28253.68421052632,28.538546495283537,77.20785432358453
Bhalswa Jahangir Pur,Census Town,North West,197148,6.7,29425.07462686567,28.72686003395033,77.16173629156175
Bhati,Census Town,South,18864,15.5,1217.032258064516,28.54761850244894,77.18917420907388
Bhor Garh,Census Town,North West,8627,3.92,2200.765306122449,28.82898219039697,77.0943587915659
Burari,Census Town,North,146190,11.2,13052.678571428572,28.74836019466414,77.19396137329274
Chandan Hola,Census Town,South,6780,0.8,8475.0,28.46806718130696,77.18264757357316
Chattar Pur,Census Town,South,46776,7.39,6329.634641407308,28.49462308920672,77.18469746556251
Chhawala (Chhawla),Census Town,South West,14662,7.1,2065.0704225352115,28.56116698119759,77.00183939155501
Chilla Saroda Bangar,Census Town,East,83217,2.58,32254.6511627907,28.56116698119759,77.00183939155501
Chilla Saroda Khadar,Census Town,East,11743,0.53,22156.603773584902,28.56116698119759,77.00183939155501
Dallo Pura,Census Town,East,154791,2.29,67594.3231441048,28.56116698119759,77.00183939155501
Darya Pur Kalan,Census Town,North West,6310,7.95,793.7106918238993,28.81852453365093,77.02044901640993
Delhi,Municipal Corporation,,11034,561.27,19.65898765300123,28.59491201614135,77.12064997167383
Delhi Cantonment,Cantonment (Board),,110351,42.57,2592.2245712943386,28.6103471560786,77.11441509155696
Deoli,Census Town,South,169122,10.1,16744.752475247526,28.50215468473656,77.22994922357873
Dera Mandi,Census Town,South,16725,16.99,984.4025897586816,28.424861355884502,77.16845041989008
Dindar Pur,Census Town,South West,35856,3.94,9100.507614213198,28.59248182886341,76.99308424155629
Fateh Pur Beri,Census Town,South,8861,4.68,1893.3760683760688,28.454284636173355,77.1776159590134
Gharoli,Census Town,East,92540,3.56,25994.38202247191,28.618224239559,77.33224941588476
Gharonda Neemka Bangar (Patparganj),Census Town,East,37876,1.49,25420.13422818792,28.618224239559,77.33224941588476
Gheora,Census Town,North West,6876,7.3,941.917808219178,28.69477814875873,76.99338165916963
Ghitorni,Census Town,South West,14893,4.3,3463.488372093024,28.495802103490032,77.1420000155656
Gokal Pur,Census Town,North East,121870,2.3,52986.956521739135,28.70321739780314,77.28312679156076
Hastsal,Census Town,West,176877,6.8,26011.32352941177,28.635957805312163,77.04660666593112
Ibrahim Pur,Census Town,North West,10614,2.96,3585.810810810811,28.778547494590548,77.18080111630482
Jaffar Pur Kalan,Census Town,South West,6573,3.44,1910.7558139534883,28.59164797017656,76.91907515910246
Jaffrabad,Census Town,North East,54601,0.9,60667.777777777774,28.683481936835992,77.27175652360805
Jait Pur,Census Town,South,59330,3.76,15779.255319148937,28.509834123524843,77.32724916560213
Jharoda Kalan,Census Town,South West,19578,12.45,1572.5301204819275,28.642444069104744,76.94939657217435
Jharoda Majra Burari,Census Town,North,22878,2.6,8799.23076923077,28.72692661401046,77.20828751616932
Jiwan Pur (Johri Pur),Census Town,North East,43054,1.0,43054.0,28.71310541291756,77.28179129156116
Jona Pur,Census Town,South,10635,8.5,1251.1764705882354,28.45966626877846,77.15515960901685
Kair,Census Town,South West,4074,4.43,919.6388261851016,28.614724546994974,76.92625201587562
Kamal Pur Majra Burari,Census Town,North,43086,1.3,33143.07692307692,28.75153014485548,77.19258817361919
Kanjhawala,Census Town,North West,10331,8.9,1160.7865168539324,28.7258905013644,76.99950426616658
Kapas Hera,Census Town,South West,74073,3.4,21786.176470588234,28.52428561072368,77.0791577090587
Karala,Census Town,North West,35730,8.78,4069.476082004556,28.734777959852067,77.03203461618992
Karawal Nagar,Census Town,North East,224281,4.8,46725.208333333336,28.72406627765,77.27195810918874
Khajoori Khas,Census Town,North East,76640,0.9,85155.55555555555,28.711605301518144,77.26019160918062
Khan Pur Dhani,Census Town,North East,6994,0.28,24978.571428571428,28.710235958531104,77.282325691561
Khera,Census Town,South West,7220,2.76,2615.9420289855075,28.77516159014016,77.10215510922214
Khera Kalan,Census Town,North West,8252,7.67,1075.8800521512387,28.76893867713405,77.11832181627959
Khera Khurd,Census Town,North West,9777,8.8,1111.0227272727273,28.775461756867088,77.0894615662967
Kirari Suleman Nagar,Census Town,North West,283211,4.7,60257.65957446808,28.69889312200172,77.04698656609582
Kondli,Census Town,East,38207,1.88,20322.87234042553,28.608029619884377,77.32744060911313
Kotla Mahigiran,Census Town,South,7376,1.14,6470.175438596491,28.53831874644933,77.29037129155408
Kusum Pur,Census Town,South West,17028,1.66,10257.831325301206,28.56715819031334,77.17478819155524
Lad Pur,Census Town,North West,5529,6.65,831.4285714285713,28.73265748396497,76.98681801618436
Libas Pur,Census Town,North West,44375,2.3,19293.478260869568,28.750367069917008,77.14560724156263
Maidan Garhi,Census Town,South,11111,7.65,1452.4183006535948,28.49150550144089,77.1983961155544
Malik Pur Kohi (Rang Puri),Census Town,South West,23726,7.5,3163.4666666666667,28.53060047530556,77.1163405156562
Mandoli,Census Town,North East,120417,5.87,20513.96933560477,28.706411763698966,77.31679041611554
Mir Pur Turk,Census Town,North East,19098,0.5,38196.0,28.707211224679227,77.26279010917771
Mithe Pur,Census Town,South,69837,1.8,38798.333333333336,28.4928602700128,77.32425340903835
Mitraon,Census Town,South West,6512,8.79,740.8418657565416,28.610170082916284,76.94720860911451
Mohammad Pur Majri,Census Town,North West,17462,3.21,5439.8753894081,28.727508471371017,77.03887257361524
Molar Band,Census Town,South,91402,4.1,22293.17073170732,28.50507454411456,77.31093455904627
Moradabad Pahari,Census Town,South West,21502,1.19,18068.90756302521,28.56330498445039,77.14929349155503
Mubarak Pur Dabas,Census Town,North West,12043,2.35,5124.680851063829,28.70760667827417,77.03271631611864
Mukand Pur,Census Town,North,57135,2.53,22583.00395256917,28.7393274209311,77.18232045919873
Mukhmel Pur,Census Town,North West,4931,2.6,1896.5384615384612,28.78691751210952,77.15836135922984
